model_name,def_gen,atk_gen,accuracy,adv_accuracy,def_value,adv_failure_rate,train_time,predict_time,adv_predict_time,data.sample.random_state,Epochs,model_layers,model.init.name,data,attack,model,dataset
ResNet101,Conf,HSJ,0.6105833333333334,0.0,1.0,45.88288714969377,94.368435946,2.179461804,0.020757459,9,20.0,101,torch_example.ResNet101,03f4d1f804e587e2269328d83fcee28e,03f4d1f804e587e2269328d83fcee28e,03f4d1f804e587e2269328d83fcee28e,cifar
ResNet101,Conf,Thresh,0.0,0.12,1.0,40.3832511508474,94.236530409,2.179121232,0.022802223,1,20.0,101,torch_example.ResNet101,040f6019c0355dd9d66a9c181a9be487,040f6019c0355dd9d66a9c181a9be487,040f6019c0355dd9d66a9c181a9be487,cifar
ResNet101,Conf,PGD,0.2905,0.1,0.2247191011235954,40.324600452366205,95.786516006,2.231888202,0.02063736,3,20.0,101,torch_example.ResNet101,052d3fb1a60ca6b2b638065f885fc265,052d3fb1a60ca6b2b638065f885fc265,052d3fb1a60ca6b2b638065f885fc265,cifar
ResNet101,Conf,Thresh,0.0,0.17,0.2247191011235954,38.09450388323256,94.417028504,2.178791992,0.022812613,4,20.0,101,torch_example.ResNet101,06d829d5c379eb62b31c7858a6f69a8e,06d829d5c379eb62b31c7858a6f69a8e,06d829d5c379eb62b31c7858a6f69a8e,cifar
ResNet101,Conf,Deep,0.0,0.14,0.2247191011235954,39.57691384477602,94.081856986,2.172983986,0.020653224,7,20.0,101,torch_example.ResNet101,0807b79def5bd46a8045af08128db1c5,0807b79def5bd46a8045af08128db1c5,0807b79def5bd46a8045af08128db1c5,cifar
ResNet101,Conf,PGD,0.3505,0.0,1.0,45.27454901463717,94.364810497,2.208746463,0.021256068,0,20.0,101,torch_example.ResNet101,128c134cb70748f55cb6c43896098b17,128c134cb70748f55cb6c43896098b17,128c134cb70748f55cb6c43896098b17,cifar
ResNet101,Conf,FGM,0.5295,0.1,0.449438202247191,41.441834984555854,94.39636433,2.171718507,0.020719236,7,20.0,101,torch_example.ResNet101,14a517946179ac5f9238c62c0777b019,14a517946179ac5f9238c62c0777b019,14a517946179ac5f9238c62c0777b019,cifar
ResNet101,Conf,Thresh,0.1045833333333333,0.06,0.2247191011235954,43.05926417528693,94.31394341,2.183037769,0.020710397,6,20.0,101,torch_example.ResNet101,1510585e434dd7a4475a06e128d03997,1510585e434dd7a4475a06e128d03997,1510585e434dd7a4475a06e128d03997,cifar
ResNet101,Conf,PGD,0.0,0.12,1.0,40.50136071086877,94.141247871,2.172766506,0.021160694,2,20.0,101,torch_example.ResNet101,154773d81d018a3071b666a2711bebc9,154773d81d018a3071b666a2711bebc9,154773d81d018a3071b666a2711bebc9,cifar
ResNet101,Conf,Deep,0.1014166666666666,0.1,0.2247191011235954,40.88958178334748,94.212630409,2.201049658,0.02068681,5,20.0,101,torch_example.ResNet101,17c2ad800a75a7ae9443bd5f9a51e190,17c2ad800a75a7ae9443bd5f9a51e190,17c2ad800a75a7ae9443bd5f9a51e190,cifar
ResNet101,Conf,Thresh,0.60625,0.11,0.0,40.39682538706301,94.212630409,2.203143419,0.022799459,3,20.0,101,torch_example.ResNet101,1c1be4cad74fe77a34eed8e53912953a,1c1be4cad74fe77a34eed8e53912953a,1c1be4cad74fe77a34eed8e53912953a,cifar
ResNet101,Conf,PGD,0.60775,0.0,0.8988764044943821,44.29116559428808,95.733577123,2.257786596,0.021677869,0,20.0,101,torch_example.ResNet101,1cb7b69b4369948b0a6d4c8d28e33804,1cb7b69b4369948b0a6d4c8d28e33804,1cb7b69b4369948b0a6d4c8d28e33804,cifar
ResNet101,Conf,Thresh,0.1001666666666666,0.1,1.0,40.46931569337376,95.597752377,2.223907137,0.023137182,4,20.0,101,torch_example.ResNet101,20bed2264d9265189409e9b1b9accfcb,20bed2264d9265189409e9b1b9accfcb,20bed2264d9265189409e9b1b9accfcb,cifar
