model_name,dataset,def_gen,atk_gen,accuracy,adv_accuracy,def_value,adv_failure_rate,train_time,predict_time,adv_predict_time,data.sample.random_state,Epochs,model_layers,model.init.name,data,attack,model
ResNet101,cifar100,Conf,PGD,0.0088333333333333,0.0,0.2247191011235954,0.8411988934020617,21243.358354214,118.877950012,0.975879474,5,1,101,torch_example.ResNet101,016214b4e4389232f500a812497928f5,016214b4e4389232f500a812497928f5,016214b4e4389232f500a812497928f5
ResNet101,cifar100,Conf,Deep,0.0723333333333333,0.01,1.0,7.73764300440397,788.815477669,12.794593902,0.094820786,3,1,101,torch_example.ResNet101,01b00b9f22ee9930aec765f44cf06a58,01b00b9f22ee9930aec765f44cf06a58,01b00b9f22ee9930aec765f44cf06a58
ResNet101,cifar100,Conf,HSJ,0.1921666666666666,0.0,1.0,11.57864127046333,638.393119799,8.636591951,0.023807196,4,1,101,torch_example.ResNet101,0430615969929b9f302da88d6185103e,0430615969929b9f302da88d6185103e,0430615969929b9f302da88d6185103e
ResNet101,cifar100,Conf,Deep,0.01,0.0,1.0,0.8619649945342351,20962.375604711,116.013992023,0.975267468,4,1,101,torch_example.ResNet101,04ee701cc77199daacb454175b5094cc,04ee701cc77199daacb454175b5094cc,04ee701cc77199daacb454175b5094cc
ResNet101,cifar100,Conf,PGD,0.0095,0.01,1.0,11.616986920349351,696.548665049,8.522003225,0.036338028,8,1,101,torch_example.ResNet101,056e8c4b793b5d4e9dfd281cb795f288,056e8c4b793b5d4e9dfd281cb795f288,056e8c4b793b5d4e9dfd281cb795f288
ResNet101,cifar100,Conf,Thresh,0.0175,0.01,0.0,10.482985379807763,627.344473762,9.443874661,0.041241153,2,1,101,torch_example.ResNet101,05d9e3ba64efd120149d0351e1eb996c,05d9e3ba64efd120149d0351e1eb996c,05d9e3ba64efd120149d0351e1eb996c
ResNet101,cifar100,Conf,Deep,0.03175,0.01,1.0,7.878220757916658,787.70489191,12.566289146,0.102775057,3,1,101,torch_example.ResNet101,07f99fe76508b099b882554f98f48aaa,07f99fe76508b099b882554f98f48aaa,07f99fe76508b099b882554f98f48aaa
ResNet101,cifar100,Conf,Deep,0.0106666666666666,0.0,1.0,0.87608211791565,20575.939789002,114.144551013,0.966793977,5,1,101,torch_example.ResNet101,084d62226d343df4c8dba3c164550e3a,084d62226d343df4c8dba3c164550e3a,084d62226d343df4c8dba3c164550e3a
ResNet101,cifar100,Conf,PGD,0.014,0.01,0.8988764044943821,0.870915835872683,20097.697797301,113.673441132,0.958919438,3,1,101,torch_example.ResNet101,087ce75cb85b5a0139472ecc8239e662,087ce75cb85b5a0139472ecc8239e662,087ce75cb85b5a0139472ecc8239e662
ResNet101,cifar100,Conf,Pixel,0.01,0.0,0.449438202247191,10.079710565852595,633.05720291,9.920919787,0.023351442,8,1,101,torch_example.ResNet101,09d3a7b22d1893c28ce72c8cb8ce0440,09d3a7b22d1893c28ce72c8cb8ce0440,09d3a7b22d1893c28ce72c8cb8ce0440
ResNet101,cifar100,Conf,Deep,0.01,0.04,0.0,0.7992884142064197,20616.018368487,120.106832895,0.959843491,8,1,101,torch_example.ResNet101,0a9daaf446a415078249731d8a9e16d1,0a9daaf446a415078249731d8a9e16d1,0a9daaf446a415078249731d8a9e16d1
ResNet101,cifar100,Conf,FGM,0.07675,0.02,0.8988764044943821,0.8136731945138863,20874.221721604,120.44147535,1.014204055,8,1,101,torch_example.ResNet101,0da4b9e2504d66005a73c3e78fb062d9,0da4b9e2504d66005a73c3e78fb062d9,0da4b9e2504d66005a73c3e78fb062d9
ResNet101,cifar100,Conf,Pixel,0.0143333333333333,0.02,0.8988764044943821,13.438612981556156,629.225279566,7.29241925,0.023263016,3,1,101,torch_example.ResNet101,0f01ba42616c2ddd187b4485fab7b1c1,0f01ba42616c2ddd187b4485fab7b1c1,0f01ba42616c2ddd187b4485fab7b1c1
ResNet101,cifar100,Conf,Thresh,0.0105,0.0,0.0,10.514858330541996,632.859900781,9.510351624,0.034554873,9,1,101,torch_example.ResNet101,0fda1aba54c426f7cf1b3d6db64fb652,0fda1aba54c426f7cf1b3d6db64fb652,0fda1aba54c426f7cf1b3d6db64fb652
ResNet101,cifar100,Conf,FGM,0.0111666666666666,0.0,0.0,0.8569306782300887,20681.864781246,116.695553725,0.955588208,8,1,101,torch_example.ResNet101,100012530397e64fca1d4a3f12ffe26f,100012530397e64fca1d4a3f12ffe26f,100012530397e64fca1d4a3f12ffe26f
ResNet101,cifar100,Conf,FGM,0.01,0.01,0.8988764044943821,8.424629107260833,756.390199385,11.751259164,0.055385847,0,1,101,torch_example.ResNet101,10e6bed185fc53d7f88ef5cf90bf44cf,10e6bed185fc53d7f88ef5cf90bf44cf,10e6bed185fc53d7f88ef5cf90bf44cf
ResNet101,cifar100,Conf,PGD,0.0948333333333333,0.02,0.2247191011235954,8.772144646312038,748.775853477,11.171726408,0.07518422,0,1,101,torch_example.ResNet101,116d224e0cb5e596fc177575f8b2f0a1,116d224e0cb5e596fc177575f8b2f0a1,116d224e0cb5e596fc177575f8b2f0a1
ResNet101,cifar100,Conf,Thresh,0.01,0.02,0.8988764044943821,10.25586401868112,628.155160112,9.555508909,0.035218613,3,1,101,torch_example.ResNet101,136da608dc16e47166cdd261ac70009f,136da608dc16e47166cdd261ac70009f,136da608dc16e47166cdd261ac70009f
ResNet101,cifar100,Conf,HSJ,0.1248333333333333,0.0,0.8988764044943821,9.598300560531642,622.40357964,10.418511003,0.059567522,9,1,101,torch_example.ResNet101,139aa5d36a945d8b2389c86bcaef287b,139aa5d36a945d8b2389c86bcaef287b,139aa5d36a945d8b2389c86bcaef287b
ResNet101,cifar100,Conf,FGM,0.091,0.02,0.8988764044943821,0.8466063165218195,21251.608679823,115.756282569,0.975042362,9,1,101,torch_example.ResNet101,13dd6279eb6e4bc1c20358b503d0c191,13dd6279eb6e4bc1c20358b503d0c191,13dd6279eb6e4bc1c20358b503d0c191
ResNet101,cifar100,Conf,PGD,0.0,0.02,1.0,0.8410459978585954,21209.128029848,116.521569866,0.978169451,0,1,101,torch_example.ResNet101,144c5f5b750635a9b01c1daea3c83768,144c5f5b750635a9b01c1daea3c83768,144c5f5b750635a9b01c1daea3c83768
ResNet101,cifar100,Conf,Pixel,0.1230833333333333,0.0,0.0,9.86503585259845,590.181340235,10.1368106,0.034685909,7,1,101,torch_example.ResNet101,15523a4f2b0e0d3e82049ee45913f3cf,15523a4f2b0e0d3e82049ee45913f3cf,15523a4f2b0e0d3e82049ee45913f3cf
ResNet101,cifar100,Conf,HSJ,0.0415,0.03,0.2247191011235954,10.920587684995503,637.683920994,8.882305861,0.060157569,6,1,101,torch_example.ResNet101,1734522c082bf5477a184d04d42b2e77,1734522c082bf5477a184d04d42b2e77,1734522c082bf5477a184d04d42b2e77
ResNet101,cifar100,Conf,Pixel,0.01,0.01,0.449438202247191,9.524132581103965,609.614469903,10.394647403,0.063457312,0,1,101,torch_example.ResNet101,17a3f401ff4de7030d3efb5845ec0399,17a3f401ff4de7030d3efb5845ec0399,17a3f401ff4de7030d3efb5845ec0399
ResNet101,cifar100,Conf,Deep,0.01,0.0,0.0,0.8542309633700431,20404.037944736,117.064358807,1.034074002,9,1,101,torch_example.ResNet101,17e82208814f094eb8de0a3428d7c64a,17e82208814f094eb8de0a3428d7c64a,17e82208814f094eb8de0a3428d7c64a
ResNet101,cifar100,Conf,PGD,0.01,0.01,0.8988764044943821,0.842636807723868,20899.709558243,117.488340282,0.994325914,1,1,101,torch_example.ResNet101,18437214ca42a99a96b96ac77fa5b4da,18437214ca42a99a96b96ac77fa5b4da,18437214ca42a99a96b96ac77fa5b4da
ResNet101,cifar100,Conf,PGD,0.203,0.01,0.2247191011235954,7.752104709681646,728.373780291,12.770725333,0.091257294,9,1,101,torch_example.ResNet101,188750b660dbaeaf21bb1b741e987ce9,188750b660dbaeaf21bb1b741e987ce9,188750b660dbaeaf21bb1b741e987ce9
ResNet101,cifar100,Conf,Deep,0.0751666666666666,0.0,1.0,10.320439043531184,696.171617953,9.68951026,0.036556551,9,1,101,torch_example.ResNet101,188b2e1313a9445384ceff2cca1eb812,188b2e1313a9445384ceff2cca1eb812,188b2e1313a9445384ceff2cca1eb812
ResNet101,cifar100,Conf,Deep,0.0103333333333333,0.02,0.2247191011235954,9.268657466004704,701.149873349,10.573268066,0.122743063,6,1,101,torch_example.ResNet101,18ef1e235597487a5f3f23e98adbfd6f,18ef1e235597487a5f3f23e98adbfd6f,18ef1e235597487a5f3f23e98adbfd6f
ResNet101,cifar100,Conf,FGM,0.1340833333333333,0.01,1.0,0.8806557873694829,20333.789017708,112.416225976,0.94808986,9,1,101,torch_example.ResNet101,192159bc5cfc6314f88e490fcee6ce91,192159bc5cfc6314f88e490fcee6ce91,192159bc5cfc6314f88e490fcee6ce91
ResNet101,cifar100,Conf,Thresh,0.0943333333333333,0.01,0.0,9.688756287904845,626.838116194,10.218029751,0.023275684,3,1,101,torch_example.ResNet101,195426688419d546ffbc406b06638588,195426688419d546ffbc406b06638588,195426688419d546ffbc406b06638588
ResNet101,cifar100,Conf,Thresh,0.2028333333333333,0.01,0.449438202247191,9.820506151160624,633.374798882,10.080946794,0.033055526,5,1,101,torch_example.ResNet101,1a6f6444d0f479c9cb815a45949bd819,1a6f6444d0f479c9cb815a45949bd819,1a6f6444d0f479c9cb815a45949bd819
ResNet101,cifar100,Conf,FGM,0.1928333333333333,0.02,0.2247191011235954,0.8474668969730438,20515.483124049,115.638735094,0.961422522,6,1,101,torch_example.ResNet101,1c788c6ba9c2e4094e0be1c8aea297f6,1c788c6ba9c2e4094e0be1c8aea297f6,1c788c6ba9c2e4094e0be1c8aea297f6
ResNet101,cifar100,Conf,PGD,0.0664166666666666,0.0,0.449438202247191,8.928504657705972,681.920804363,11.200083758,0.028685378,3,1,101,torch_example.ResNet101,1da39d8b3f91a1ee55159067025c7e07,1da39d8b3f91a1ee55159067025c7e07,1da39d8b3f91a1ee55159067025c7e07
ResNet101,cifar100,Conf,Pixel,0.1950833333333333,0.02,0.449438202247191,11.046878851168822,617.540065403,8.871284036,0.023431646,0,1,101,torch_example.ResNet101,1dcf0d6e25721ce3484d8e8b9ac8e473,1dcf0d6e25721ce3484d8e8b9ac8e473,1dcf0d6e25721ce3484d8e8b9ac8e473
ResNet101,cifar100,Conf,HSJ,0.0899166666666666,0.01,0.0,0.8741730474615755,19881.716731432,113.249888323,0.965893576,7,1,101,torch_example.ResNet101,1e457146b2619151f8cc9d350053d564,1e457146b2619151f8cc9d350053d564,1e457146b2619151f8cc9d350053d564
ResNet101,cifar100,Conf,FGM,0.01,0.0,1.0,0.8625077789379284,20888.033120933,115.940983307,0.974836631,3,1,101,torch_example.ResNet101,1fb499a6f2f6f76e2a4638a6091db26b,1fb499a6f2f6f76e2a4638a6091db26b,1fb499a6f2f6f76e2a4638a6091db26b
