model_name,dataset,def_gen,atk_gen,accuracy,adv_accuracy,def_value,adv_failure_rate,train_time,predict_time,adv_predict_time,data.sample.random_state,model_layers,model.init.name,data,attack,model
ResNet18,mnist,Control,PGD,0.9708333333333332,0.1,0.0,128.75242597288067,,0.699015955,0.007255953,0,18,torch_example.ResNet18,0000271cbb24df58655e78183ebdf526,0000271cbb24df58655e78183ebdf526,0000271cbb24df58655e78183ebdf526
ResNet34,mnist,Conf,PGD,0.9827142857142858,0.07,,111.79980821476212,70.728954347,0.831844003,0.007642335,2,34,torch_example.ResNet34,000632dec5ae20d1b5b1e5ec8542c504,000632dec5ae20d1b5b1e5ec8542c504,000632dec5ae20d1b5b1e5ec8542c504
ResNet18,mnist,Conf,Deep,0.90575,0.07,0.0,141.29243119007324,,0.658209355,0.00813121,0,18,torch_example.ResNet18,0007148ef6d9b2faa07ee860431c53e0,0007148ef6d9b2faa07ee860431c53e0,0007148ef6d9b2faa07ee860431c53e0
ResNet18,mnist,Conf,FGM,0.9028333333333334,0.08,0.2247191011235954,100.2288118097587,,0.917899737,0.014185829,0,18,torch_example.ResNet18,0007d30b5f200a5bef1e71f9c0e0e196,0007d30b5f200a5bef1e71f9c0e0e196,0007d30b5f200a5bef1e71f9c0e0e196
ResNet34,mnist,Conf,PGD,0.8407857142857142,0.12,,27.30358331172472,206.672264437,3.22302018,0.019326617,3,34,torch_example.ResNet34,0009cf1504e3689e79934f78fcb00c7c,0009cf1504e3689e79934f78fcb00c7c,0009cf1504e3689e79934f78fcb00c7c
ResNet50,mnist,Gauss-out,Pixel,,,,,66.816677868,1.546544069,,5,50,torch_example.ResNet50,000e900bad53681aa2468550956e6f09,000e900bad53681aa2468550956e6f09,000e900bad53681aa2468550956e6f09
ResNet152,mnist,Gauss-in,Thresh,,,,,,,,5,152,torch_example.ResNet152,001333dd2e257bf975f05793878c2d14,001333dd2e257bf975f05793878c2d14,001333dd2e257bf975f05793878c2d14
ResNet18,mnist,Control,HSJ,0.9665714285714284,0.01,0.0,20.94664560122185,,4.726293741,0.006824436,7,18,torch_example.ResNet18,00175a623388caceb6fa35784ab33620,00175a623388caceb6fa35784ab33620,00175a623388caceb6fa35784ab33620
ResNet18,mnist,Gauss-in,Deep,0.9741666666666666,0.09,0.0,50.95547952336025,,1.785872704,0.011684304,0,18,torch_example.ResNet18,00176162f4384df1f4bf58968ab0c55a,00176162f4384df1f4bf58968ab0c55a,00176162f4384df1f4bf58968ab0c55a
ResNet18,mnist,Gauss-in,Pixel,,,,,120.53568373,1.54667623,,6,18,torch_example.ResNet18,0017dc347e9587339236acd3194f53bb,0017dc347e9587339236acd3194f53bb,0017dc347e9587339236acd3194f53bb
ResNet18,mnist,Gauss-in,FGM,0.8176666666666667,0.15,1.0,51.5781725397154,,1.64798394,0.027420049,0,18,torch_example.ResNet18,00186ca71997f11c6b0bde6bfbf3a73c,00186ca71997f11c6b0bde6bfbf3a73c,00186ca71997f11c6b0bde6bfbf3a73c
ResNet18,mnist,FSQ,PGD,0.0998333333333333,0.12,0.0,113.98920290643142,,0.772002942,0.00854232,0,18,torch_example.ResNet18,0018ec0ab9440e4c000946228d334f1d,0018ec0ab9440e4c000946228d334f1d,0018ec0ab9440e4c000946228d334f1d
ResNet18,mnist,Gauss-in,Deep,0.1971666666666666,0.12,0.2929292929292929,50.30190296151636,,1.749436797,0.010975872,0,18,torch_example.ResNet18,0019a547ad90b2af1438647126ed16d8,0019a547ad90b2af1438647126ed16d8,0019a547ad90b2af1438647126ed16d8
ResNet18,mnist,FSQ,FGM,0.9724166666666668,0.09,1.0,48.395575238079736,,1.880337191,0.019092139,0,18,torch_example.ResNet18,0019cf354f148c4d45d7ec8a45f155d2,0019cf354f148c4d45d7ec8a45f155d2,0019cf354f148c4d45d7ec8a45f155d2
ResNet18,mnist,Gauss-out,PGD,0.98925,0.09,0.0909090909090909,74.82605792733608,,1.216153871,0.01091204,0,18,torch_example.ResNet18,001a7d72bcbb3fe5d778757e1fb4caa6,001a7d72bcbb3fe5d778757e1fb4caa6,001a7d72bcbb3fe5d778757e1fb4caa6
