param,covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
lambda_0_,model_layers,0.011631988652533797,1.011699903304578,0.0005669286770258892,0.010520828863760115,0.01274314844130748,1.0105763673832884,1.012824688347663,0.0,20.5175520729614,1.5008153423357834e-93,308.35356634329213
lambda_0_,train_time,-0.0004413074962396902,0.9995587898655908,2.616302978280239e-05,-0.0004925860923404317,-0.0003900289001389487,0.999507535208271,0.9996100471512449,0.0,-16.867599047330998,7.789890798473243e-64,209.64179496858708
lambda_0_,def_value,0.08505039140611852,1.0887719300645642,0.06038282409726288,-0.03329776910933403,0.20339855192157108,0.9672504993837405,1.225560820544192,0.0,1.408519602679097,0.15897726657727523,2.6531076170575796
lambda_0_,predict_time,0.1287866314464751,1.1374474027650567,0.004730746794053475,0.11951453811015196,0.13805872478279824,1.1269496276659352,1.1480429668685193,0.0,27.22331949965262,3.4404344861110846e-163,539.6916886949175
lambda_0_,data.sample.random_state,0.005645054017939785,1.0056610173592113,0.00735320098942864,-0.00876695509242464,0.02005706312830421,0.9912713626001153,1.0202595575677398,0.0,0.7677002200885601,0.44266530540142335,1.1757117905430252
lambda_0_,atk_value,0.2759723632848165,1.3178114435445036,0.06059613674918857,0.15720611765414289,0.3947386089154901,1.170236795507248,1.4839962368334987,0.0,4.554289730170167,5.2562870571378e-06,17.537524502834305
lambda_0_,accuracy,-0.03582706289164106,0.9648071300117822,0.07567102684056315,-0.1841395501723086,0.11248542438902648,0.8318197151421844,1.1190559458697846,0.0,-0.47345813037700324,0.6358863657098519,0.653159119117016
lambda_0_,Epochs,-0.001489274031096058,0.9985118343871594,0.0013370721695725282,-0.004109887328189045,0.0011313392659969292,0.9958985467004776,1.0011319794716715,0.0,-1.1138321961874278,0.26535118186506873,1.914025120409263
lambda_0_,Atk: Deep,0.2069858579772171,1.2299651774621958,437408.8664979717,-857305.4178686553,857305.8318403711,0.0,inf,0.0,4.73209104411643e-07,0.9999996224337615,5.447130427184682e-07
lambda_0_,Atk: FGM,-4.969082548269449,0.006949520960905113,574696.2778644323,-1126388.975746059,1126379.0375809625,0.0,inf,0.0,-8.646449854755502e-06,0.9999931011311552,9.952998202320191e-06
lambda_0_,Atk: HSJ,3.377987480465738,29.311721302067358,920263.0422225255,-1803679.0410719325,1803685.7970468935,0.0,inf,0.0,3.670676019225511e-06,0.9999970712242766,4.225336399541584e-06
lambda_0_,Atk: PGD,-1.3167092981598811,0.26801581254992307,637297.8573976085,-1249082.164633154,1249079.5312145576,0.0,inf,0.0,-2.0660814764647633e-06,0.9999983515054885,2.378276816893943e-06
lambda_0_,Atk: Pixel,4.048804631958071,57.32888695102086,691279.7521811421,-1354879.3687121805,1354887.4663214444,0.0,inf,0.0,5.8569698001180964e-06,0.9999953268142234,6.741997698328523e-06
lambda_0_,Atk: Thresh,4.875515762662459,131.041722212078,687687.5045271257,-1347837.865975629,1347847.6170071545,0.0,inf,0.0,7.089725682910303e-06,0.9999943432173374,8.1610353773748e-06
lambda_0_,Def: Conf,0.42049587923781145,1.5227164519080418,,,,,,0.0,,,
lambda_0_,Def: Control,0.42265292803931626,1.5260045706470249,,,,,,0.0,,,
lambda_0_,Def: FSQ,0.3093687406883944,1.362564710930543,,,,,,0.0,,,
lambda_0_,Def: Gauss-in,0.3293938937833221,1.3901253094786326,,,,,,0.0,,,
lambda_0_,Def: Gauss-out,0.704296920902005,2.02242426071759,,,,,,0.0,,,
lambda_0_,Data: cifar,0.5791437822217986,1.7845098473866248,597255.4198792425,-1170598.533390881,1170599.6916784453,0.0,inf,0.0,9.696752226022397e-07,0.9999992263111109,1.1161975552418232e-06
lambda_0_,Data: cifar100,0.35175752752487843,1.4215637918351205,597255.4198792396,-1170598.76077713,1170599.4642921851,0.0,inf,0.0,5.889566102154436e-07,0.9999995300806137,6.779505275124908e-07
lambda_0_,Data: mnist,0.669099258933699,1.9524778513600205,597255.419879239,-1170598.4434353975,1170599.7816339154,0.0,inf,0.0,1.1202899742106757e-06,0.999999106137926,1.2895709577840877e-06
lambda_0_,Intercept,0.8828985899220053,2.417898053778857,422266.5396006155,-827626.326594973,827628.0923921529,0.0,inf,0.0,2.0908561468239014e-06,0.9999983317381615,2.4067950888189296e-06
lambda_1_,model_layers,0.0029073256680990068,1.0029115560380635,0.00026225287473900577,0.002393319478768461,0.0034213318574295524,1.0023961857540136,1.0034271912937218,0.0,11.085963008002787,1.4676259176275338e-28,92.46050236956286
lambda_1_,train_time,-0.0004544879705497465,0.9995456152934633,2.3350579593605892e-05,-0.00050025426557135,-0.000408721675528143,0.9994998708407313,0.9995913618397974,0.0,-19.463669787203024,2.232146207946031e-84,277.88352844221976
lambda_1_,def_value,-0.014090623271541678,0.9860081849264205,0.02523286063762214,-0.06354612134819945,0.0353648748051161,0.9384308366071674,1.0359976492853336,0.0,-0.5584235364314021,0.5765552045587274,0.7944693438531506
lambda_1_,predict_time,0.12484624288133106,1.132974236819496,0.0043440799784893085,0.11633200257753049,0.13336048318513163,1.1233687715557186,1.1426618344740518,0.0,28.739397870098013,1.2289246296644696e-181,600.9715887371311
lambda_1_,data.sample.random_state,0.0019060355144560877,1.001907853154793,0.0031390696072917876,-0.004246427860800107,0.008058498889712282,0.9957625754654883,1.008091055986907,0.0,0.6071975944810308,0.5437197884569673,0.8790647595061425
lambda_1_,atk_value,0.7595451085394369,2.137303758102978,0.025418116388278462,0.7097265158635638,0.80936370121531,2.033435070361664,2.246478100522109,0.0,29.882037556870277,3.368367707387685e-196,649.3458569593203
