param,covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
sigma_,model_layers,-0.001899589174371701,0.9981022139032611,0.00011053535994779553,-0.0021162344988875513,-0.0016829438498558505,0.9978860031466006,0.9983184715060457,0.0,-17.185352951931883,3.4186013992986713e-66,217.4738480447607
sigma_,atk_value,0.07745840898586927,1.0805372908822495,0.03466542125123757,0.009515431824534223,0.14540138614720433,1.0095608474815032,1.1565036816748608,0.0,2.2344574561632933,0.025452988842232384,5.296021113643222
sigma_,data.sample.random_state,0.00016808070478982286,1.0001680948311429,0.0032523077018329935,-0.006206325257445077,0.006542486667024723,0.9938128941978698,1.0065639354836038,0.0,0.051680443610883725,0.9587833201505283,0.060723284091214726
sigma_,accuracy,0.006364590330668309,1.0063848873736463,0.04096451710586113,-0.07392438784089447,0.0866535685022311,0.9287419153679257,1.090518824201917,0.0,0.15536837195519326,0.8765309168790207,0.19012311646226698
sigma_,train_time,-7.925025846661038e-06,0.9999920750055563,6.511918206345556e-06,-2.0688151001368997e-05,4.838099308046919e-06,0.9999793120629971,1.0000048381110118,0.0,-1.217003284675547,0.22360296612576114,2.1609887690204634
sigma_,Epochs,0.0005222444507744297,1.0005223808441501,0.0013425801207027084,-0.0021091642321623173,0.003153653133711177,0.9978930584917457,1.0031586311293366,0.0,0.38898568712687787,0.697286734269029,0.5201760599661309
sigma_,def_value,-0.04779390962794594,0.9533302390170322,0.029856928099117903,-0.10631241339121897,0.010724594135327087,0.8991436996597816,1.0107823087323622,0.0,-1.6007644681087594,0.10942909620938228,3.1919317061550396
sigma_,predict_time,-9.694204258487913e-05,0.9999030626561431,0.0007888448356687035,-0.0016430495098859557,0.0014491654247161972,0.9983582995569978,1.0014502159723415,0.0,-0.12289114183361724,0.9021933002490042,0.14849152234531
sigma_,Atk: Deep,-0.286497619958744,0.7508888656754424,0.028648418062774593,-0.34264748757582897,-0.23034775234165905,0.709888411943231,0.7942573496191143,0.0,-10.000469112499289,1.516768247099478e-23,75.80334551495373
sigma_,Atk: FGM,-0.49177579340362454,0.6115394616441862,0.01674020020352769,-0.5245859828965289,-0.45896560391072017,0.5918003291116108,0.6319369806864875,0.0,-29.376936202948862,1.0824593179228652e-189,627.7300971285598
sigma_,Atk: HSJ,0.6529862464224607,1.921269655548174,0.034711974643913096,0.5849520262881235,0.721020466556798,1.7949048753250663,2.05653076108654,0.0,18.811555756219846,6.072913610561669e-79,259.8299306496373
sigma_,Atk: PGD,-0.4944434113158243,0.6099102820028125,0.030722399451688785,-0.5546582077597875,-0.4342286148718612,0.5742685081765712,0.6477641500382845,0.0,-16.093906079612708,2.8150293025380586e-58,191.17867956361042
sigma_,Atk: Pixel,0.6892196128276102,1.99216027014816,0.03792410738458751,0.6148897282079893,0.7635494974472312,1.8494526458558662,2.145879512432828,0.0,18.17365418355796,8.345097396843317e-74,242.76175013407538
sigma_,Atk: Thresh,0.9120514780966521,2.4894242979369334,0.04116316502364927,0.8313731571606207,0.9927297990326835,2.2964699903996504,2.6985910380132165,0.0,22.156981310175144,8.934266847263775e-109,358.9308129972514
sigma_,Def: Conf,0.06020049030728265,1.0620494558232705,0.02837513504842291,0.004586247555913546,0.11581473305865175,1.0045967804852869,1.1227878373944526,0.0,2.1215930850918925,0.03387192357411807,4.883766270493877
sigma_,Def: Control,0.11624157801878039,1.1232671960227676,0.016558401807367094,0.08378770683479794,0.14869544920276284,1.0873980221355006,1.1603195591463258,0.0,7.020096466499725,2.217151133882169e-12,38.71443002262865
sigma_,Def: FSQ,0.00057063411344797,1.0005707969560667,0.022646686763224493,-0.04381605631163201,0.044957324538527944,0.9571299993039781,1.0459832211395794,0.0,0.025197244939803354,0.9798976344794411,0.029297049682425143
sigma_,Def: Gauss-in,0.042243650860644494,1.0431486118466888,0.014756969345338248,0.013320522422819909,0.07116677929846908,1.0134096358210243,1.0737602919238978,0.0,2.862623745572077,0.004201491605218176,7.8948826830995475
sigma_,Def: Gauss-out,0.06915638688917339,1.0716037808267078,0.040090446888031275,-0.009419445135483803,0.1477322189138306,0.9906247788737105,1.1592024423088754,0.0,1.725009129539525,0.08452582724750667,3.564463959046072
